iter	Passed	Remaining
0	37	37480
1	40	20284
2	56	18900
3	59	14778
4	73	14583
5	80	13345
6	83	11847
7	86	10712
8	89	9831
9	92	9116
10	96	8674
11	99	8176
12	102	7766
13	105	7411
14	108	7094
15	110	6813
16	113	6546
17	115	6315
18	117	6079
19	128	6293
20	131	6124
21	134	5975
22	136	5815
23	139	5680
24	142	5555
25	145	5441
26	147	5326
27	150	5226
28	155	5213
29	158	5119
30	160	5031
31	163	4948
32	166	4885
33	169	4821
34	171	4725
35	173	4649
36	175	4580
37	178	4516
38	180	4452
39	183	4403
40	186	4352
41	188	4303
42	192	4287
43	195	4240
44	198	4219
45	201	4177
46	204	4148
47	207	4108
48	209	4068
49	212	4028
50	214	3993
51	217	3959
52	219	3925
53	222	3900
54	225	3866
55	228	3848
56	230	3820
57	233	3797
58	236	3771
59	239	3744
60	241	3718
61	244	3697
62	246	3673
63	249	3649
64	251	3624
65	254	3596
66	256	3573
67	259	3554
68	261	3532
69	264	3511
70	267	3495
71	269	3473
72	271	3453
73	275	3441
74	277	3425
75	280	3408
76	282	3390
77	285	3372
78	288	3359
79	290	3345
80	293	3335
81	296	3318
82	298	3301
83	301	3284
84	303	3271
85	306	3255
86	307	3230
87	310	3214
88	312	3198
89	314	3180
90	317	3171
91	319	3157
92	322	3143
93	324	3129
94	327	3115
95	329	3103
96	333	3102
97	335	3091
98	338	3080
99	340	3067
100	342	3049
101	344	3036
102	349	3041
103	351	3030
104	354	3017
105	356	3005
106	357	2987
107	360	2974
108	362	2966
109	365	2954
110	367	2942
111	369	2929
112	371	2916
113	375	2916
114	378	2913
115	380	2902
116	383	2892
117	386	2885
118	388	2877
119	391	2871
120	394	2862
121	396	2853
122	399	2845
123	401	2836
124	403	2823
125	405	2815
126	408	2806
127	410	2797
128	412	2787
129	415	2779
130	417	2770
131	421	2768
132	423	2759
133	425	2751
134	428	2743
135	430	2734
136	434	2736
137	437	2731
138	439	2723
139	442	2715
140	444	2707
141	447	2701
142	450	2698
143	452	2690
144	454	2680
145	457	2674
146	459	2667
147	461	2659
148	465	2655
149	467	2648
150	468	2636
151	471	2630
152	473	2623
153	476	2616
154	479	2611
155	481	2605
156	484	2599
157	486	2593
158	489	2589
159	492	2585
160	498	2598
161	505	2612
162	514	2641
163	517	2636
164	519	2629
165	530	2666
166	537	2680
167	542	2684
168	544	2676
169	546	2669
170	549	2662
171	552	2658
172	556	2660
173	561	2664
174	563	2657
175	565	2649
176	568	2643
177	572	2643
178	575	2637
179	577	2631
180	582	2636
181	586	2634
182	588	2628
183	591	2622
184	594	2617
185	596	2611
186	599	2606
187	601	2599
188	604	2592
189	609	2597
190	613	2597
191	615	2591
192	618	2584
193	620	2579
194	623	2573
195	625	2567
196	628	2563
197	631	2557
198	634	2552
199	636	2546
200	639	2541
201	644	2545
202	647	2542
203	649	2535
204	651	2528
205	654	2521
206	656	2515
207	658	2508
208	660	2501
209	663	2494
210	665	2488
211	667	2481
212	669	2475
213	672	2470
214	674	2464
215	677	2457
216	679	2450
217	681	2444
218	683	2437
219	685	2431
220	688	2427
221	690	2421
222	693	2415
223	695	2410
224	697	2404
225	699	2396
226	703	2396
227	706	2391
228	708	2385
229	710	2379
230	713	2374
231	715	2369
232	718	2364
233	720	2359
234	723	2354
235	725	2348
236	727	2343
237	730	2338
238	732	2332
239	735	2328
240	737	2324
241	740	2319
242	743	2317
243	746	2312
244	748	2308
245	751	2303
246	754	2299
247	759	2302
248	761	2297
249	764	2292
250	766	2287
251	769	2283
252	774	2286
253	777	2284
254	780	2281
255	783	2278
256	787	2275
257	789	2271
258	792	2268
259	795	2264
260	797	2258
261	800	2253
262	804	2253
263	807	2251
264	810	2248
265	813	2244
266	816	2241
267	819	2239
268	822	2235
269	824	2230
270	827	2225
271	829	2220
272	832	2217
273	835	2212
274	838	2210
275	841	2206
276	843	2202
277	847	2200
278	849	2196
279	852	2192
280	855	2189
281	858	2185
282	863	2186
283	866	2183
284	869	2180
285	872	2177
286	874	2173
287	878	2172
288	881	2167
289	883	2163
290	886	2158
291	888	2154
292	892	2153
293	897	2154
294	899	2150
295	902	2146
296	905	2142
297	908	2139
298	910	2134
299	912	2130
300	914	2123
301	916	2118
302	919	2114
303	922	2110
304	924	2106
305	926	2101
306	928	2096
307	931	2092
308	933	2088
309	936	2085
310	939	2081
311	941	2076
312	943	2071
313	946	2067
314	949	2063
315	952	2062
316	954	2057
317	957	2053
318	958	2046
319	961	2042
320	963	2037
321	966	2035
322	969	2031
323	971	2026
324	973	2022
325	976	2019
326	978	2014
327	981	2010
328	983	2006
329	985	2001
330	988	1997
331	990	1992
332	992	1988
333	995	1984
334	997	1980
335	999	1975
336	1002	1972
337	1005	1969
338	1008	1966
339	1011	1963
340	1013	1959
341	1016	1955
342	1018	1950
343	1020	1945
344	1022	1940
345	1024	1936
346	1027	1933
347	1029	1929
348	1031	1924
349	1034	1920
350	1036	1916
351	1038	1911
352	1040	1907
353	1043	1903
354	1044	1897
355	1046	1893
356	1048	1889
357	1051	1884
358	1053	1880
359	1055	1876
360	1058	1872
361	1060	1868
362	1062	1864
363	1064	1860
364	1067	1856
365	1069	1852
366	1072	1849
367	1074	1845
368	1077	1841
369	1079	1837
370	1081	1833
371	1083	1829
372	1087	1828
373	1090	1825
374	1092	1821
375	1094	1817
376	1096	1812
377	1099	1809
378	1101	1805
379	1104	1801
380	1106	1797
381	1108	1793
382	1111	1789
