n_triangles,chromatic_number,max_deg,class
63890,59,81,0
121133,88,98,1
52869,57,81,0
107602,81,98,1
35187,49,67,0
120769,87,97,1
43081,52,77,0
120245,84,97,1
41574,53,75,0
122861,89,97,1
48412,59,77,0
126098,85,99,1
46073,58,78,0
134392,89,97,1
54829,60,81,0
113744,84,98,1
42992,51,75,0
102727,83,95,1
45690,55,75,0
135990,90,98,1
34277,44,73,0
132643,91,99,1
52040,57,78,0
118354,87,95,1
49054,55,77,0
133175,93,98,1
42044,51,74,0
145589,96,99,1
36191,49,72,0
120578,88,97,1
45285,54,78,0
124118,89,99,1
40818,51,73,0
131823,91,98,1
38002,48,76,0
135145,90,99,1
62042,61,81,0
131881,87,97,1
53344,59,79,0
135274,92,99,1
40087,50,71,0
126668,90,97,1
41173,49,72,0
130365,89,99,1
44626,52,78,0
140179,93,99,1
42495,60,76,0
108313,79,96,1
38309,52,70,0
116078,87,96,1
57178,57,81,0
133222,90,97,1
49171,57,77,0
119927,86,98,1
43385,52,75,0
127736,89,99,1
52925,57,81,0
133903,92,97,1
33510,47,73,0
117594,86,96,1
38521,51,72,0
137498,87,98,1
43341,50,74,0
114369,85,98,1
57119,56,83,0
140365,95,97,1
38317,51,73,0
130922,90,98,1
38473,53,71,0
134966,92,97,1
41275,52,76,0
132258,90,98,1
45534,52,75,0
138710,94,98,1
53600,55,80,0
114244,85,96,1
54380,54,79,0
126731,89,99,1
56916,59,84,0
132372,92,99,1
41127,50,74,0
130891,91,98,1
58675,55,82,0
128599,87,98,1
37633,51,73,0
137205,92,97,1
57080,59,79,0
126901,90,97,1
51667,59,76,0
144752,94,99,1
57556,64,78,0
143200,94,98,1
48084,58,75,0
116752,86,97,1
40018,51,75,0
117320,88,96,1
37575,49,71,0
125867,89,96,1
39157,48,71,0
123488,88,99,1
63453,60,82,0
129531,87,98,1
55348,55,81,0
118899,87,96,1
37577,46,71,0
110980,83,96,1
41244,57,76,0
141693,93,99,1
43069,55,75,0
131138,89,98,1
49864,55,77,0
136511,90,99,1
50177,57,78,0
118815,87,95,1
44251,54,77,0
141348,93,99,1
43370,51,75,0
133221,89,98,1
39812,48,71,0
125357,87,97,1
41297,54,74,0
127255,91,96,1
63451,60,82,0
130926,91,98,1
44548,56,74,0
97124,82,95,1
34202,53,70,0
118536,88,98,1
51136,52,80,0
132324,92,97,1
47215,55,77,0
137973,90,98,1
46377,58,73,0
131113,90,98,1
32633,44,69,0
126053,89,98,1
42827,50,75,0
127283,91,97,1
50327,57,75,0
121985,88,99,1
51009,56,82,0
136912,92,98,1
46488,52,78,0
137027,92,98,1
43236,51,77,0
119929,86,97,1
46552,56,74,0
133415,90,98,1
38765,47,71,0
131773,89,96,1
68082,66,83,0
132267,91,97,1
46675,52,79,0
106210,82,97,1
40499,49,77,0
121317,86,98,1
42633,52,75,0
123964,88,98,1
50560,61,75,0
137831,92,99,1
38721,55,72,0
105075,83,95,1
55937,58,77,0
133537,89,98,1
48525,60,77,0
117789,84,97,1
41917,51,76,0
129280,89,99,1
67382,63,82,0
114195,85,99,1
36729,47,72,0
118278,87,96,1
55589,62,81,0
130304,90,98,1
36155,48,73,0
117947,83,97,1
31039,41,69,0
129226,89,98,1
37423,47,73,0
130850,92,98,1
56624,60,78,0
135779,91,98,1
44035,53,75,0
128817,90,97,1
38161,52,73,0
118255,87,97,1
54077,62,76,0
123461,87,99,1
43173,53,77,0
129297,88,98,1
44925,54,76,0
133988,92,99,1
53196,60,83,0
134552,91,99,1
59428,63,79,0
135182,88,99,1
50735,56,75,0
131336,89,98,1
61607,58,80,0
139767,93,98,1
44845,54,75,0
133932,90,98,1
36586,51,74,0
122606,88,96,1
46354,57,80,0
133725,90,97,1
46497,62,75,0
142916,94,98,1
48957,55,77,0
105608,82,98,1
38681,54,72,0
128808,89,97,1
36948,50,69,0
127219,91,98,1
59199,65,77,0
118149,86,95,1
45830,56,78,0
126539,88,98,1
52894,61,80,0
125722,91,96,1
49563,56,79,0
133657,92,98,1
72919,66,87,0
123263,90,97,1
34004,51,69,0
131478,92,97,1
49334,56,79,0
138371,92,98,1
44458,56,77,0
119734,86,98,1
55632,59,81,0
112415,80,96,1
47873,58,77,0
129011,90,98,1
56987,62,82,0
140967,94,99,1
42440,57,71,0
124480,91,96,1
46236,53,77,0
138427,93,98,1
36731,48,71,0
124526,87,98,1
44931,51,77,0
124383,89,97,1
45349,55,80,0
123913,88,97,1
38370,46,75,0
119796,88,97,1
43438,53,74,0
131397,91,99,1
42708,56,77,0
128564,88,97,1
39672,56,70,0
127311,88,98,1
50309,55,79,0
133699,90,98,1
51193,59,78,0
123102,89,97,1
40544,47,71,0
123933,87,99,1
52065,60,78,0
117804,87,98,1
45759,52,78,0
139145,92,98,1
